row,content_date
6137,30-dic-87
6138,30-dic-87
6140,30-dic-87
6141,30-dic-87
6149,30-dic-87
6150,30-dic-87
6151,30-dic-87
6152,30-dic-87
6153,10-dic-93
6154,10-dic-93
6155,30-dic-87
6170,10-dic-93
6177,15-dic-89
6180,30-dic-87
6181,30-dic-87
6185,30-dic-87
6189,15-dic-89
6194,10-dic-93
6195,10-dic-93
6196,30-dic-87
6239,30-dic-87
6240,15-dic-89
6241,30-dic-87
6243,20-dic-91
6245,30-dic-87
6250,10-dic-93
6252,30-dic-87
6256,15-dic-89
6260,30-dic-87
6262,30-dic-87
6263,30-dic-87
6269,20-dic-91
6270,15-dic-89
6271,15-dic-89
6273,15-dic-89
6282,30-dic-87
6283,30-dic-87
6284,30-dic-87
6286,30-dic-87
6287,30-dic-87
6288,30-dic-87
6290,30-dic-87
6296,10-dic-93
6297,20-dic-91
6299,10-dic-93
6300,20-dic-91
6302,15-dic-89
6305,30-dic-87
6306,10-dic-93
6308,10-dic-93
6316,30-dic-87
6317,15-dic-89
6318,15-dic-89
6319,20-dic-91
6321,10-dic-93
6326,15-dic-89
6332,10-dic-93
6334,30-dic-87
6335,30-dic-87
6337,30-dic-87
6339,30-dic-87
6340,30-dic-87
6341,30-dic-87
6342,30-dic-87
6344,30-dic-87
6345,30-dic-87
6346,10-dic-93
6349,10-dic-93
6354,15-dic-89
6359,30-dic-87
6360,30-dic-87
6362,20-dic-91
6363,15-dic-89
6364,30-dic-87
6365,15-dic-89
6366,15-dic-89
6368,30-dic-87
6369,15-dic-89
6370,20-dic-91
6372,30-dic-87
6373,30-dic-87
6375,10-dic-93
6399,30-dic-87
6400,15-dic-89
6417,10-dic-93
6418,10-dic-93
6420,30-dic-87
6425,30-dic-87
6426,30-dic-87
6432,10-dic-93
6437,10-dic-93
6441,15-dic-89
6442,15-dic-89
6443,30-dic-87
6447,30-dic-87
6448,20-dic-91
6449,20-dic-91
6450,15-dic-89
6453,10-dic-93
6455,15-dic-89
6456,15-dic-89
6457,15-dic-89
6458,15-dic-89
6475,30-dic-87
6501,30-dic-87
6521,30-dic-87
6523,10-dic-93
6536,30-dic-87
6537,15-dic-89
6539,20-dic-91
6541,15-dic-89
6545,30-dic-87
6547,10-dic-93
6548,10-dic-93
6549,10-dic-93
6555,10-dic-93
6600,30-dic-87
6603,30-dic-87
6604,30-dic-87
6609,30-dic-87
6610,30-dic-87
6614,30-dic-87
6616,30-dic-87
6617,15-dic-89
6621,10-dic-93
6629,10-dic-93
6630,20-dic-91
6675,20-dic-91
6677,10-dic-93
6678,20-dic-91
6680,20-dic-91
6685,10-dic-93
6704,10-dic-93
6710,10-dic-93
6711,10-dic-93
6720,10-dic-93
6721,10-dic-93
6722,10-dic-93
6723,10-dic-93
6740,30-dic-87
6741,10-dic-93
6746,10-dic-93
6747,10-dic-93
6750,10-dic-93
6753,10-dic-93
6754,10-dic-93
6755,10-dic-93
6762,10-dic-93
6771,10-dic-93
6776,20-dic-91
6777,20-dic-91
6804,10-dic-93
6805,10-dic-93
6806,10-dic-93
6807,10-dic-93
6809,20-dic-91
6817,10-dic-93
