EMu Catalog IRN,CatPrefix,CatNumber,CatSuffix,BioParticipantString,BioDateVisitedFrom,BioDateVisitedTo,ClaOrder,ClaFamily,ClaGenus,ClaSpecies,ClaSubspecies,EMU Localities IRN,AquBottomDepthFromMet,AquBottomDepthToMet,AquDepthFromMet,AquDepthToMet,AquDistanceFromShoreMet,AquDistanceFromShoreToMet,DraDrainage,DraDrainageSeaGulf,DraPrimaryTributary,DraQuaternaryTributary,DraRiverBasin,DraSecondaryTributary,DraTertiaryTributary,LatDeriveCentroid_tab,LatPreferred_tab,LocArchipelago,LocBaySound,LocContinent,LocContinentalShelfRegion,LocCountry,LocDistrictCountyShire,LocIslandGrouping,LocIslandName,LocNearestNamedPlace,LocNoFurtherLocalityData,LocOcean,LocPreciseLocation,LocProvinceStateTerritory,LocSeaGulf,LocSiteName_tab,LocTownship,TerElevationFromMet,TerElevationToMet,TerVerbatimElevation,LatPreferredCentroidLatDec,LatPreferredCentroidLongDec
3628227,R,86900,,J. Anderson & Sherman A. Minton,1961-06-22,1961-06-22,Squamata,Hydrophiidae,Disteira,schistosa,,3064276,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,nr mouth Malir River,Karachi,,,,,,,,
3628229,R,86901,,J. Anderson & Sherman A. Minton,1961-06-22,1961-06-22,Squamata,Hydrophiidae,Disteira,schistosa,,3064276,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,nr mouth Malir River,Karachi,,,,,,,,
3481916,R,91572,,Jerome Anderson,1962-12-10,1962-12-10,Squamata,Hydrophiidae,Hydrophis,cyanocinctus,,3048173,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Karachi Dist, off Cape Monze",,,,,,,,,
3470819,R,90433,,Jerry A. Anderson,1962-10-12,1962-10-12,Squamata,Hydrophiidae,Hydrophis,mamillaris,,3046696,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Korangi Cr, nr Karachi",Federal,,,,,,,,
3625495,R,85591,,"Sherman A. Minton, George Dales & O. Maschike",1960-11-27,1960-11-27,Squamata,Hydrophiidae,Pelamis,platurus,,3063845,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Reef nr Cape Monze, ca 12 mi SW Karachi",,,,,,,,,
3622314,R,84023,,"N. B. Chugtai, W. Fairservis & Sherman A. Minton",1959-12-19,1959-12-19,Squamata,Hydrophiidae,Disteira,schistosa,,3063018,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Churna Island, off Cape Monze",,,,,,,,,
3356869,R,119852,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3356879,R,119857,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3356867,R,119851,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3428532,R,104681,,Michael Hammill,1970-07-09,1970-07-09,Squamata,Hydrophiidae,Hydrophis,lapemoides,,3040038,,,,,,,,,,,,,,,,,,Asia,,Saudi Arabia,,,,,,,Doha Dhalum,,,,,,,,,
