 
 Cebu
 Guaymas
Aldoa Bay,
Aleutian Islands,
Aleutians
Alexandria,
Algarue,
Algarve Coast,
Algarve,
Algegras,
Algeuras
Alghero,
Algoa Bay &
Algoa Bay,
Algodon Bay,
Algodones Bay,
Alhoa Club,
Alicia Playa,
Aligator Key Light,
Aligway Island
Alii, Haleiwa,
Aliwal Shoal
Aliwal Shoal,
Allegahany
Allegator Key
Allegeny National Forest,
Allegheny County
Allegheny County,
Allegheny National Forest,
Allegheny,
Alley Spring,
Alley Spring, Hwy 106,
Alligator Harbor
Alligator Light
Alligator Light,
Allyn, Hood Canal,
Almendares,
Almeria Bay,
Almidies,
Aloa Club,
Aloha Club,
Along north shore line,
Along shoreline,
Altamaha River, at 221 bridge,
Altata,
Altimonan,
Altona Bay
Altona Bay & Ham Bay,
Altona Bay,
Altoona Lagoon,
Alturas de Almandares,
Alupat Isalnd
Alwial Shoal,
Amador,
Amakusa
Amalgao Bay,
Amami Group,
Amami Islands Reef,
Amami Islands,
Amami Islds.,Kakeroma Island,
Amami,
Amami-Oshima
Amami-Oshima,
Amani Island
Ambalolsaka,
Ambandro,
Ambataloaka,
Ambataloaka, Nossi Be,
Ambidjan,
Ambify,
Ambka,
Ambke,
Amblas,
Amboina
Amboina,
Amelia Island
Amelia Island,
American Air Force Base,
American Schoals, 24 31' 56"N, 81 31' 10"W
American Shoal, NW of lighthouse, 24 31' 54"N, 81 31' 26"W
American Shoals
American Shoals, 24 31' 41" N, 81 31' 14" W
American Shoals, 24 31.41'N, 81 31.14'W
American Shoals, 24 31.43'N, 81 31.26'W
American Shoals, 24 31.54'N, 81 31.26'W
American Shoals, 24 31.56'N, 81 31.10'W
American Shoals, 24 31.56'N,81 31.10'W
American Shoals, NW of lighthouse, 24 31' 54"N, 81 31' 26"W
Amiston,
Among the ruins of Machu Picchu
Amsa,
Amsterdam,
Amuay Bay,
Amuay Village,
An Pi'ng,
An Ping Village
An Ping Village,
An Ping; Naung Sui Yang
Ana Chaves Bay,
Ana Hevane Bay,
Anaa Isl;and,
Anacapa Island,
Anacapa Island, N.W.
Anacappa Island,
Anaconda beach,
Anae Island,
Anaheim Bay,
Anaheim,
Anahoe,
Anakao,
Anakao, 20.5 miles south of
Anakao, 20.5 miles south of,
Analsao,
Anama Bay,
Ancach,
Anchor Bay,
Anchorage,
Ancilla River,
Anclote Key,
Anclote Keys,
Ancona,
Ancouch,
Andahuaylas
Andavdoaka,
Anderson County,
Andrencia Bay,
Andros Island
Andros Island,
Androscoggin Co., Auburn,
Aneiteum,
Anelate Key,
Anesco Bay,
Angel Fish Creek,
Angel La Guarda Island,
Angel de la Guara Island,
Angel de la Guarda Island,
Anglesey,
Angulhas Bay,
Anini Beach,
Anipara Beach,
Anitan Isabella,
Aniwa Bay,
Ankify,
Ann Arbor,
Anna Island.
Anna Maria Island,
Anna Maria Island.
Anna Maria Key,
Anna Maria,
Anna Martia Island,
Annandale,
Annandale, Dutchess Co.,
Annandale, Dutchess County,
Annapolis
Annsville, Westchester County,
Anori,
Ansa Vata
Ansa Vata,
Anse Bernard,
Anse Bertrand,
Anse Boileau Reef,
Anse Ceron,
Anse D'Arlets,
Anse Etoile,
Anse Marie-Louise Reef,
Anse Vala,
Anse Vata,
Anse a l'Eau
Anse a la monche,
Anse d'Aretes bay,
Anse de Lilong,
Anse de la Scaletta,
Anse-a-Galets,
Anse-la-Roche,
Anskeo,
Ant Atoll,
Antigua
Antilana Beach,
Antilina Beach,
Antilla
Antimonan Bay,
Antioca,
Antioch,
Anton Viejo Bay,
Antourtour
Antsatracole,
Anzio,
Aomori,
Aorobon,
Apalachicola Bay,
Apalachicola River,
Apalachicola,
Apalachicola, Gulf Co.,
Aparri,
Apia
Apia Harbor
Apia Harbor,
Apia,
Appalachacola,
Appalachicola Bay,
Appalachicola,
Appling / Tottnall Counties
Appling County
Apra Harbor,
Apra,
Aqaba,
Aqua Chale,
Aqua Verde Bay,
Aquadilla,
Aquiba Island,
