PrepIRN	CatPrefix	CatNumber	CatSuffix	BioDateVisitedFrom	BioDateVisitedTo	ExpExpeditionName	BioParticipantString	ClaOrder	ClaFamily	ClaGenus	ClaSpecies	ClaSubspecies	LocContinent	LocCountry	LocDistrictCountyShire	LocIslandGrouping	LocIslandName	LocOcean	LocPreciseLocation	LocProvinceStateTerritory	LocSeaGulf	LocTownship	TerElevationFromMet	TerElevationToMet	TerVerbatimElevation	LatPreferredCentroidLatDec	LatPreferredCentroidLongDec
5751099	SKIN	358347		15 Jan 1912				Charadriiformes	Laridae	Larus	canus	brachyrhynchos	North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751097	SKIN	358346		16 Nov 1912				Charadriiformes	Laridae	Larus	canus	brachyrhynchos	North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751095	SKIN	358345		18 Nov 1912				Charadriiformes	Laridae	Larus	canus	brachyrhynchos	North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751093	SKIN	358344		09 Nov 1912				Charadriiformes	Laridae	Larus	canus	brachyrhynchos	North and Central America	USA	Monterey Co.				Pacific Grove	California							
5972926	SKIN	262092		10 Mar 1926		Ruwenzori-Kivu Expedition		Charadriiformes	Laridae	Larus	hemprichi								Port Sudun W. Coast of Red Sea								
5972924	SKIN	262091		10 Mar 1926		Ruwenzori-Kivu Expedition		Charadriiformes	Laridae	Larus	hemprichi								Port Sudun W. Coast of Red Sea								
5972922	SKIN	262090		10 Mar 1926		Ruwenzori-Kivu Expedition		Charadriiformes	Laridae	Larus	hemprichi								Port Sudun W. Coast of Red Sea								
5751501	SKIN	358548		11 Oct 1912				Charadriiformes	Laridae	Larus	hermanni		North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751499	SKIN	358547		10 Oct 1912				Charadriiformes	Laridae	Larus	hermanni		North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751505	SKIN	358550		11 Oct 1912				Charadriiformes	Laridae	Larus	hermanni		North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751497	SKIN	358546		30 Nov 1905				Charadriiformes	Laridae	Larus	hermanni		North and Central America	USA					Pacific Beach	California							
5751511	SKIN	358553		13 Feb 1914				Charadriiformes	Laridae	Larus	hermanni		North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751509	SKIN	358552		10 Feb 1914				Charadriiformes	Laridae	Larus	hermanni		North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751507	SKIN	358551		06 Feb 1914				Charadriiformes	Laridae	Larus	hermanni		North and Central America	USA	Monterey Co.				Pacific Grove	California							
5751503	SKIN	358549		08 Nov 1912				Charadriiformes	Laridae	Larus	hermanni		North and Central America	USA	Monterey Co.				Pacific Grove	California							
5972932	SKIN	262095		11 Mar 1926		Ruwenzori-Kivu Expedition		Charadriiformes	Laridae	Larus	leucopthalmus								Port Sudun W. Coast of Red Sea								
5972930	SKIN	262094		10 Mar 1926		Ruwenzori-Kivu Expedition		Charadriiformes	Laridae	Larus	leucopthalmus								Port Sudun W. Coast of Red Sea								
5972928	SKIN	262093		11 Mar 1926		Ruwenzori-Kivu Expedition		Charadriiformes	Laridae	Larus	leucopthalmus								Port Sudun W. Coast of Red Sea								
5588311	SKIN	436847		14 Aug 1914			R. W. Peavey			LimnodromusR.	grisensW.	scolapaceus	North and Central America	USA					Seaford, L.I.	New York							
6285437	SKIN	90380		19 Sep 1906			J. T. Nichols			Limnopardalis	maculatus			Brazil					At sea, off Rio							-21	-37
5749567	SKIN	357579		07 Sep 1904				Charadriiformes	Scolopacidae	Limosa	ledoa		North and Central America	USA	S.D. Co.				Pacific Beach	California							
5749565	SKIN	357578		21 Sep 1904				Charadriiformes	Scolopacidae	Limosa	ledoa		North and Central America	USA	S.D. Co.				Pacific Beach	California							
5749569	SKIN	357580		07 Sep 1904				Charadriiformes	Scolopacidae	Limosa	ledoa		North and Central America	USA	S.D. Co.				Pacific Beach	California							
6364803	SKIN	60716		24 Feb 1894		Museum Expedition	F. M. Chapman	Passeriformes	Mimidae	Margarops	f.	densirostris		Dominica					Roseau								
6364805	SKIN	60717		24 Feb 1894		Museum Expedition	F. M. Chapman	Passeriformes	Mimidae	Margarops	f.	densirostris		Dominica					Roseau								
